"","ngram","freq","length","less1gram","less1gram_freq","hit_rate","suggest"
"2071","sure you",38,"2","sure",567,0.0670194003527337,"you"
"15617","its not like",13,"3","its not",194,0.0670103092783505,"like"
"2665","set to",31,"2","set",463,0.0669546436285097,"to"
"13942","to do it",47,"3","to do",702,0.066951566951567,"it"
"5637","couldnt get",16,"2","couldnt",239,0.0669456066945607,"get"
"14013","a little more",38,"3","a little",568,0.0669014084507042,"more"
"1887","thats the",41,"2","thats",614,0.0667752442996743,"the"
"2618","doing so",31,"2","doing",465,0.0666666666666667,"so"
"4448","isnt that",20,"2","isnt",300,0.0666666666666667,"that"
"14696","wanted to do",20,"3","wanted to",300,0.0666666666666667,"do"
"5081","reading and",18,"2","reading",270,0.0666666666666667,"and"
"5768","men in",16,"2","men",240,0.0666666666666667,"in"
"15230","most of my",15,"3","most of",225,0.0666666666666667,"my"
"6779","mother of",14,"2","mother",210,0.0666666666666667,"of"
"15408","know that the",14,"3","know that",210,0.0666666666666667,"the"
"7877","boy and",12,"2","boy",180,0.0666666666666667,"and"
"16096","and his family",11,"3","and his",165,0.0666666666666667,"family"
"16097","and his wife",11,"3","and his",165,0.0666666666666667,"wife"
"10647","alone and",9,"2","alone",135,0.0666666666666667,"and"
"10793","boys in",9,"2","boys",135,0.0666666666666667,"in"
"10928","exactly how",9,"2","exactly",135,0.0666666666666667,"how"
"13217","six years",8,"2","six",120,0.0666666666666667,"years"
"17950","let me just",8,"3","let me",120,0.0666666666666667,"just"
"18199","the two of",8,"3","the two",120,0.0666666666666667,"of"
"18974","make sure it",7,"3","make sure",105,0.0666666666666667,"it"
"18975","make sure your",7,"3","make sure",105,0.0666666666666667,"your"
"19176","so we are",7,"3","so we",105,0.0666666666666667,"are"
"19254","the kids are",7,"3","the kids",105,0.0666666666666667,"are"
"21834","a bit of an",7,"4","a bit of",105,0.0666666666666667,"an"
"19810","but in my",6,"3","but in",90,0.0666666666666667,"my"
"20317","is now a",6,"3","is now",90,0.0666666666666667,"a"
"22528","in front of my",5,"4","in front of",75,0.0666666666666667,"my"
"22529","in front of you",5,"4","in front of",75,0.0666666666666667,"you"
"316","there were",164,"2","there",2464,0.0665584415584416,"were"
"1513","didnt know",49,"2","didnt",737,0.0664857530529172,"know"
"14702","which is why",20,"3","which is",301,0.0664451827242525,"why"
"5961","write this",16,"2","write",241,0.0663900414937759,"this"
"6450","whether its",15,"2","whether",226,0.0663716814159292,"its"
"3007","pretty good",28,"2","pretty",422,0.0663507109004739,"good"
"6898","system and",14,"2","system",211,0.0663507109004739,"and"
"697","than a",93,"2","than",1402,0.0663338088445078,"a"
"3971","idea what",22,"2","idea",332,0.0662650602409639,"what"
"9319","visit and",11,"2","visit",166,0.0662650602409639,"and"
"10147","seeing what",10,"2","seeing",151,0.0662251655629139,"what"
"17029","dont have any",9,"3","dont have",136,0.0661764705882353,"any"
"17112","if they had",9,"3","if they",136,0.0661764705882353,"had"
"818","could not",82,"2","could",1240,0.0661290322580645,"not"
"13990","all the way",40,"3","all the",605,0.0661157024793388,"way"
"12670","imagine a",8,"2","imagine",121,0.0661157024793388,"a"
"12832","meeting the",8,"2","meeting",121,0.0661157024793388,"the"
"12870","moved from",8,"2","moved",121,0.0661157024793388,"from"
"12871","moved in",8,"2","moved",121,0.0661157024793388,"in"
"18000","no one knows",8,"3","no one",121,0.0661157024793388,"knows"
"18092","say that it",8,"3","say that",121,0.0661157024793388,"it"
"18393","you do that",8,"3","you do",121,0.0661157024793388,"that"
"21724","i have to do",8,"4","i have to",121,0.0661157024793388,"do"
"4148","comes in",21,"2","comes",318,0.0660377358490566,"in"
"18436","a week ago",7,"3","a week",106,0.0660377358490566,"ago"
"19423","to write the",7,"3","to write",106,0.0660377358490566,"the"
"19431","top of my",7,"3","top of",106,0.0660377358490566,"my"
"19432","top of that",7,"3","top of",106,0.0660377358490566,"that"
"15529","and you are",13,"3","and you",197,0.065989847715736,"are"
"15713","this week we",13,"3","this week",197,0.065989847715736,"we"
"2547","once the",32,"2","once",485,0.065979381443299,"the"
"1071","those of",66,"2","those",1001,0.0659340659340659,"of"
"8470","worked out",12,"2","worked",182,0.0659340659340659,"out"
"15920","look at it",12,"3","look at",182,0.0659340659340659,"it"
"19676","and get some",6,"3","and get",91,0.0659340659340659,"some"
"21264","you should never",6,"3","you should",91,0.0659340659340659,"never"
"22127","i decided to take",6,"4","i decided to",91,0.0659340659340659,"take"
"783","way of",85,"2","way",1290,0.0658914728682171,"of"
"2320","enough for",34,"2","enough",516,0.0658914728682171,"for"
"5395","oh my",17,"2","oh",258,0.0658914728682171,"my"
"14264","the world and",28,"3","the world",425,0.0658823529411765,"and"
"8530","added the",11,"2","added",167,0.0658682634730539,"the"
"8767","girls and",11,"2","girls",167,0.0658682634730539,"and"
"16244","just a bit",11,"3","just a",167,0.0658682634730539,"bit"
"5673","film and",16,"2","film",243,0.065843621399177,"and"
"14148","i can do",31,"3","i can",471,0.0658174097664544,"do"
"9594","break and",10,"2","break",152,0.0657894736842105,"and"
"9595","break in",10,"2","break",152,0.0657894736842105,"in"
"16453","a long way",10,"3","a long",152,0.0657894736842105,"way"
"16875","went to my",10,"3","went to",152,0.0657894736842105,"my"
"10914","email to",9,"2","email",137,0.0656934306569343,"to"
"17469","was so excited",9,"3","was so",137,0.0656934306569343,"excited"
"13975","a few days",42,"3","a few",640,0.065625,"days"
"3379","books that",25,"2","books",381,0.0656167979002625,"that"
"12392","drink and",8,"2","drink",122,0.0655737704918033,"and"
"12786","link below",8,"2","link",122,0.0655737704918033,"below"
"13097","present the",8,"2","present",122,0.0655737704918033,"the"
"13120","quick and",8,"2","quick",122,0.0655737704918033,"and"
"2321","found the",34,"2","found",519,0.0655105973025048,"the"
"16319","that are not",11,"3","that are",168,0.0654761904761905,"not"
"6570","bring to",14,"2","bring",214,0.0654205607476635,"to"
"18791","i mean i",7,"3","i mean",107,0.0654205607476635,"i"
"19557","you and you",7,"3","you and",107,0.0654205607476635,"you"
"5360","leave you",17,"2","leave",260,0.0653846153846154,"you"
"14930","how to make",17,"3","how to",260,0.0653846153846154,"make"
"2771","story is",30,"2","story",459,0.065359477124183,"is"
"9599","brought me",10,"2","brought",153,0.065359477124183,"me"
"9600","brought up",10,"2","brought",153,0.065359477124183,"up"
"10552","youll have",10,"2","youll",153,0.065359477124183,"have"
"10553","youll see",10,"2","youll",153,0.065359477124183,"see"
"16545","do it and",10,"3","do it",153,0.065359477124183,"and"
"15537","be the first",13,"3","be the",199,0.0653266331658292,"first"
"15146","would have to",16,"3","would have",245,0.0653061224489796,"to"
"990","did i",70,"2","did",1072,0.0652985074626866,"i"
"13901","this is not",54,"3","this is",827,0.0652962515114873,"not"
"5051","means to",18,"2","means",276,0.0652173913043478,"to"
"14809","at least a",18,"3","at least",276,0.0652173913043478,"a"
"7962","front and",12,"2","front",184,0.0652173913043478,"and"
"21448","out of the way",12,"4","out of the",184,0.0652173913043478,"way"
"10791","bought it",9,"2","bought",138,0.0652173913043478,"it"
"10865","crazy and",9,"2","crazy",138,0.0652173913043478,"and"
"10923","event is",9,"2","event",138,0.0652173913043478,"is"
"11229","march and",9,"2","march",138,0.0652173913043478,"and"
"11230","march the",9,"2","march",138,0.0652173913043478,"the"
"19855","continue to be",6,"3","continue to",92,0.0652173913043478,"be"
"20111","i believe it",6,"3","i believe",92,0.0652173913043478,"it"
"20516","now that is",6,"3","now that",92,0.0652173913043478,"is"
"2241","give the",35,"2","give",537,0.0651769087523277,"the"
"7074","wrong i",14,"2","wrong",215,0.0651162790697674,"i"
"138","so much",291,"2","so",4469,0.0651152383083464,"much"
"16121","as we are",11,"3","as we",169,0.0650887573964497,"are"
"12472","focus of",8,"2","focus",123,0.0650406504065041,"of"
"13114","projects and",8,"2","projects",123,0.0650406504065041,"and"
"13564","training for",8,"2","training",123,0.0650406504065041,"for"
"17752","had the chance",8,"3","had the",123,0.0650406504065041,"chance"
"18049","on his way",8,"3","on his",123,0.0650406504065041,"way"
"4978","felt a",18,"2","felt",277,0.0649819494584837,"a"
"14824","he is a",18,"3","he is",277,0.0649819494584837,"a"
"770","think it",86,"2","think",1324,0.0649546827794562,"it"
"1083","made the",65,"2","made",1001,0.0649350649350649,"the"
"15161","are the ones",15,"3","are the",231,0.0649350649350649,"ones"
"2826","done in",29,"2","done",447,0.0648769574944072,"in"
"14454","we have been",24,"3","we have",370,0.0648648648648649,"been"
"3356","yet i",26,"2","yet",401,0.0648379052369077,"i"
"6661","game and",14,"2","game",216,0.0648148148148148,"and"
"7015","turn off",14,"2","turn",216,0.0648148148148148,"off"
"18510","and what is",7,"3","and what",108,0.0648148148148148,"is"
"18511","and what the",7,"3","and what",108,0.0648148148148148,"the"
"18512","and what we",7,"3","and what",108,0.0648148148148148,"we"
"19016","my favorite things",7,"3","my favorite",108,0.0648148148148148,"things"
"19112","or not i",7,"3","or not",108,0.0648148148148148,"i"
"19113","or not the",7,"3","or not",108,0.0648148148148148,"the"
"715","over and",91,"2","over",1405,0.0647686832740214,"and"
"10829","certainly not",9,"2","certainly",139,0.0647482014388489,"not"
"11484","service to",9,"2","service",139,0.0647482014388489,"to"
"2418","let the",33,"2","let",510,0.0647058823529412,"the"
"9122","south of",11,"2","south",170,0.0647058823529412,"of"
"9135","street and",11,"2","street",170,0.0647058823529412,"and"
"16103","and not just",11,"3","and not",170,0.0647058823529412,"just"
"2234","days i",35,"2","days",541,0.0646950092421442,"i"
"324","their own",163,"2","their",2523,0.0646056282203726,"own"
"3306","start with",26,"2","start",403,0.0645161290322581,"with"
"15345","because i have",14,"3","because i",217,0.0645161290322581,"have"
"16055","we can all",12,"3","we can",186,0.0645161290322581,"all"
"18326","we all need",8,"3","we all",124,0.0645161290322581,"need"
"19674","and for some",6,"3","and for",93,0.0645161290322581,"some"
"19675","and for that",6,"3","and for",93,0.0645161290322581,"that"
"19826","but this time",6,"3","but this",93,0.0645161290322581,"time"
"19851","come to a",6,"3","come to",93,0.0645161290322581,"a"
"19852","come to pass",6,"3","come to",93,0.0645161290322581,"pass"
"20330","it but the",6,"3","it but",93,0.0645161290322581,"the"
"20374","just as we",6,"3","just as",93,0.0645161290322581,"we"
"22195","it would be interesting",6,"4","it would be",93,0.0645161290322581,"interesting"
"814","after all",82,"2","after",1272,0.0644654088050314,"all"
"14008","have to say",39,"3","have to",605,0.0644628099173554,"say"
"4775","run a",19,"2","run",295,0.0644067796610169,"a"
"15562","had been a",13,"3","had been",202,0.0643564356435644,"a"
"16212","in fact the",11,"3","in fact",171,0.064327485380117,"the"
"10708","april and",9,"2","april",140,0.0642857142857143,"and"
"21600","i wanted to share",9,"4","i wanted to",140,0.0642857142857143,"share"
"1315","few years",55,"2","few",856,0.0642523364485981,"years"
"19406","to show the",7,"3","to show",109,0.0642201834862385,"the"
"4761","play with",19,"2","play",296,0.0641891891891892,"with"
"21451","some of the most",12,"4","some of the",187,0.0641711229946524,"most"
"730","back and",89,"2","back",1387,0.0641672674837779,"and"
"14300","the other side",27,"3","the other",421,0.0641330166270784,"side"
"22563","it is the same",5,"4","it is the",78,0.0641025641025641,"same"
"2166","blog post",36,"2","blog",562,0.0640569395017794,"post"
"7427","movie is",13,"2","movie",203,0.0640394088669951,"is"
"12342","created in",8,"2","created",125,0.064,"in"
"13215","sitting at",8,"2","sitting",125,0.064,"at"
"703","dont want",92,"2","dont",1438,0.0639777468706537,"want"
"2085","thought of",38,"2","thought",594,0.063973063973064,"of"
"8680","completely different",11,"2","completely",172,0.063953488372093,"different"
"14188","there are many",30,"3","there are",470,0.0638297872340425,"many"
"14189","there are no",30,"3","there are",470,0.0638297872340425,"no"
"6322","stuff that",15,"2","stuff",235,0.0638297872340425,"that"
"8019","hour of",12,"2","hour",188,0.0638297872340425,"of"
"10842","college and",9,"2","college",141,0.0638297872340425,"and"
"11957","youve ever",9,"2","youve",141,0.0638297872340425,"ever"
"20681","said that i",6,"3","said that",94,0.0638297872340425,"i"
"20879","the s when",6,"3","the s",94,0.0638297872340425,"when"
"1625","book and",46,"2","book",721,0.0638002773925104,"and"
"7205","company and",13,"2","company",204,0.0637254901960784,"and"
"7758","written and",13,"2","written",204,0.0637254901960784,"and"
"15733","to use it",13,"3","to use",204,0.0637254901960784,"it"
"9764","gone and",10,"2","gone",157,0.0636942675159236,"and"
"9922","learned from",10,"2","learned",157,0.0636942675159236,"from"
"9923","learned how",10,"2","learned",157,0.0636942675159236,"how"
"15014","you know how",17,"3","you know",267,0.0636704119850187,"how"
"4210","least one",21,"2","least",330,0.0636363636363636,"one"
"15482","way to get",14,"3","way to",220,0.0636363636363636,"get"
"14378","over the next",25,"3","over the",393,0.0636132315521628,"next"
"8536","age i",11,"2","age",173,0.0635838150289017,"i"
"8732","etc and",11,"2","etc",173,0.0635838150289017,"and"
"2089","today and",38,"2","today",598,0.0635451505016722,"and"
"13979","i had the",42,"3","i had",661,0.0635400907715582,"the"
"5657","early s",16,"2","early",252,0.0634920634920635,"s"
"8086","late and",12,"2","late",189,0.0634920634920635,"and"
"8087","late to",12,"2","late",189,0.0634920634920635,"to"
"12256","busy with",8,"2","busy",126,0.0634920634920635,"with"
"12274","c and",8,"2","c",126,0.0634920634920635,"and"
"13047","park and",8,"2","park",126,0.0634920634920635,"and"
"17618","as much of",8,"3","as much",126,0.0634920634920635,"of"
"17655","but they have",8,"3","but they",126,0.0634920634920635,"have"
"17692","due to a",8,"3","due to",126,0.0634920634920635,"a"
"474","no one",121,"2","no",1906,0.0634837355718783,"one"
"1195","through a",60,"2","through",946,0.0634249471458774,"a"
"15707","they have to",13,"3","they have",205,0.0634146341463415,"to"
"13993","have been a",40,"3","have been",632,0.0632911392405063,"a"
"9736","fresh air",10,"2","fresh",158,0.0632911392405063,"air"
"10014","note i",10,"2","note",158,0.0632911392405063,"i"
"10015","note to",10,"2","note",158,0.0632911392405063,"to"
"16712","not only did",10,"3","not only",158,0.0632911392405063,"did"
"22499","i think i may",5,"4","i think i",79,0.0632911392405063,"may"
"13913","if you dont",52,"3","if you",822,0.0632603406326034,"dont"
"242","its not",194,"2","its",3070,0.0631921824104235,"not"
"7871","below and",12,"2","below",190,0.0631578947368421,"and"
"20836","the lord jesus",6,"3","the lord",95,0.0631578947368421,"jesus"
"21244","you all to",6,"3","you all",95,0.0631578947368421,"to"
"7408","loved and",13,"2","loved",206,0.0631067961165049,"and"
"7553","series and",13,"2","series",206,0.0631067961165049,"and"
"1633","find it",46,"2","find",729,0.0631001371742112,"it"
"13822","and i have",81,"3","and i",1284,0.0630841121495327,"have"
"18466","and all that",7,"3","and all",111,0.0630630630630631,"that"
"19118","out there who",7,"3","out there",111,0.0630630630630631,"who"
"19152","seems to me",7,"3","seems to",111,0.0630630630630631,"me"
"3893","words to",23,"2","words",365,0.063013698630137,"to"
"10","i was",1303,"2","i",20685,0.062992506647329,"was"
"12199","bar in",8,"2","bar",127,0.062992125984252,"in"
"12288","center for",8,"2","center",127,0.062992125984252,"for"
"12919","north and",8,"2","north",127,0.062992125984252,"and"
"18173","the house of",8,"3","the house",127,0.062992125984252,"of"
"5387","nice and",17,"2","nice",270,0.062962962962963,"and"
"11397","phone call",9,"2","phone",143,0.0629370629370629,"call"
"11541","starting out",9,"2","starting",143,0.0629370629370629,"out"
"11562","sunday night",9,"2","sunday",143,0.0629370629370629,"night"
"17009","but we all",9,"3","but we",143,0.0629370629370629,"all"
"17247","of people in",9,"3","of people",143,0.0629370629370629,"in"
"17440","to read more",9,"3","to read",143,0.0629370629370629,"more"
"21569","a couple of days",9,"4","a couple of",143,0.0629370629370629,"days"
"9653","control over",10,"2","control",159,0.0628930817610063,"over"
"9699","energy to",10,"2","energy",159,0.0628930817610063,"to"
"9737","friday the",10,"2","friday",159,0.0628930817610063,"the"
"16884","which i think",10,"3","which i",159,0.0628930817610063,"think"
"9062","playing a",11,"2","playing",175,0.0628571428571429,"a"
"16146","dont know how",11,"3","dont know",175,0.0628571428571429,"how"
"16281","of those who",11,"3","of those",175,0.0628571428571429,"who"
"16362","then i was",11,"3","then i",175,0.0628571428571429,"was"
"3298","point in",26,"2","point",414,0.0628019323671498,"in"
"7365","interesting and",13,"2","interesting",207,0.0628019323671498,"and"
"1561","need a",48,"2","need",765,0.0627450980392157,"a"
"5658","easy and",16,"2","easy",255,0.0627450980392157,"and"
"375","who are",144,"2","who",2298,0.0626631853785901,"are"
"3666","told her",24,"2","told",383,0.0626631853785901,"her"
"14354","able to do",25,"3","able to",399,0.06265664160401,"do"
"2661","post i",31,"2","post",496,0.0625,"i"
"4112","add to",21,"2","add",336,0.0625,"to"
"4726","month of",19,"2","month",304,0.0625,"of"
"6902","taken the",14,"2","taken",224,0.0625,"the"
"7905","color of",12,"2","color",192,0.0625,"of"
"11423","product or",9,"2","product",144,0.0625,"or"
"11538","stand the",9,"2","stand",144,0.0625,"the"
"13157","saturday i",8,"2","saturday",128,0.0625,"i"
"13499","thoughts about",8,"2","thoughts",128,0.0625,"about"
"13555","tomorrow and",8,"2","tomorrow",128,0.0625,"and"
"17778","him to be",8,"3","him to",128,0.0625,"be"
"18671","for all those",7,"3","for all",112,0.0625,"those"
"18741","him and i",7,"3","him and",112,0.0625,"i"
"18971","made a mistake",7,"3","made a",112,0.0625,"mistake"
"18998","might be able",7,"3","might be",112,0.0625,"able"
"19507","while i am",7,"3","while i",112,0.0625,"am"
"19631","about how i",6,"3","about how",96,0.0625,"i"
"20358","it with my",6,"3","it with",96,0.0625,"my"
"20476","my head in",6,"3","my head",96,0.0625,"in"
"20477","my head that",6,"3","my head",96,0.0625,"that"
"20895","the th and",6,"3","the th",96,0.0625,"and"
"22235","rest of the world",6,"4","rest of the",96,0.0625,"world"
"22683","the first time that",5,"4","the first time",80,0.0625,"that"
"1629","didnt get",46,"2","didnt",737,0.062415196743555,"get"
"3506","yet but",25,"2","yet",401,0.0623441396508728,"but"
"4920","asked him",18,"2","asked",289,0.0622837370242214,"him"
"6416","true i",15,"2","true",241,0.0622406639004149,"i"
"6635","either way",14,"2","either",225,0.0622222222222222,"way"
"6671","government to",14,"2","government",225,0.0622222222222222,"to"
"6838","plan on",14,"2","plan",225,0.0622222222222222,"on"
"6908","thank god",14,"2","thank",225,0.0622222222222222,"god"
"306","just a",167,"2","just",2684,0.062220566318927,"a"
"14275","as i was",27,"3","as i",434,0.0622119815668203,"was"
"3304","show up",26,"2","show",418,0.062200956937799,"up"
"7576","spent fuel",13,"2","spent",209,0.062200956937799,"fuel"
"16312","so many of",11,"3","so many",177,0.0621468926553672,"of"
"10481","weve got",10,"2","weve",161,0.062111801242236,"got"
"21548","the fact that it",10,"4","the fact that",161,0.062111801242236,"it"
"21549","the fact that we",10,"4","the fact that",161,0.062111801242236,"we"
"263","what is",181,"2","what",2916,0.0620713305898491,"is"
"14860","she was a",18,"3","she was",290,0.0620689655172414,"a"
"10763","bed i",9,"2","bed",145,0.0620689655172414,"i"
"10826","cause i",9,"2","cause",145,0.0620689655172414,"i"
"14403","all of my",24,"3","all of",387,0.062015503875969,"my"
"14404","all of these",24,"3","all of",387,0.062015503875969,"these"
"5804","oh well",16,"2","oh",258,0.062015503875969,"well"
"5954","women in",16,"2","women",258,0.062015503875969,"in"
"5955","women who",16,"2","women",258,0.062015503875969,"who"
"13086","political and",8,"2","political",129,0.062015503875969,"and"
"6136","half a",15,"2","half",242,0.0619834710743802,"a"
"6787","news of",14,"2","news",226,0.0619469026548673,"of"
"18454","all that was",7,"3","all that",113,0.0619469026548673,"was"
"18640","do with my",7,"3","do with",113,0.0619469026548673,"my"
"21870","end of the month",7,"4","end of the",113,0.0619469026548673,"month"
"21871","end of the year",7,"4","end of the",113,0.0619469026548673,"year"
"741","day and",88,"2","day",1422,0.0618846694796062,"and"
"19732","as if i",6,"3","as if",97,0.0618556701030928,"i"
"19733","as if to",6,"3","as if",97,0.0618556701030928,"to"
"19734","as if we",6,"3","as if",97,0.0618556701030928,"we"
"20246","in it is",6,"3","in it",97,0.0618556701030928,"is"
"20344","it out to",6,"3","it out",97,0.0618556701030928,"to"
"20409","life and i",6,"3","life and",97,0.0618556701030928,"i"
"20850","the night at",6,"3","the night",97,0.0618556701030928,"at"
"8737","fall for",11,"2","fall",178,0.0617977528089888,"for"
"16379","to give the",11,"3","to give",178,0.0617977528089888,"the"
"1266","right to",57,"2","right",923,0.0617551462621885,"to"
"6111","film is",15,"2","film",243,0.0617283950617284,"is"
"9716","father was",10,"2","father",162,0.0617283950617284,"was"
"9758","giving away",10,"2","giving",162,0.0617283950617284,"away"
"9759","giving us",10,"2","giving",162,0.0617283950617284,"us"
"16458","a small amount",10,"3","a small",162,0.0617283950617284,"amount"
"22355","and i have been",5,"4","and i have",81,0.0617283950617284,"been"
"22356","and i have no",5,"4","and i have",81,0.0617283950617284,"no"
"2822","came in",29,"2","came",470,0.0617021276595745,"in"
"11544","states are",9,"2","states",146,0.0616438356164384,"are"
"11545","states of",9,"2","states",146,0.0616438356164384,"of"
"16922","according to a",9,"3","according to",146,0.0616438356164384,"a"
"6","to be",1791,"2","to",29058,0.0616353499896758,"be"
"14910","at least i",17,"3","at least",276,0.0615942028985507,"i"
"14980","that they would",17,"3","that they",276,0.0615942028985507,"would"
"196","me and",220,"2","me",3573,0.061572907920515,"and"
"5749","leave it",16,"2","leave",260,0.0615384615384615,"it"
"17837","if we dont",8,"3","if we",130,0.0615384615384615,"dont"
"1698","week and",45,"2","week",732,0.0614754098360656,"and"
"9131","store and",11,"2","store",179,0.0614525139664804,"and"
"14835","if i were",18,"3","if i",293,0.0614334470989761,"were"
"4114","ago when",21,"2","ago",342,0.0614035087719298,"when"
"6830","parents are",14,"2","parents",228,0.0614035087719298,"are"
"18517","any of it",7,"3","any of",114,0.0614035087719298,"it"
"14926","he is not",17,"3","he is",277,0.0613718411552347,"not"
"14927","he is the",17,"3","he is",277,0.0613718411552347,"the"
"10184","son is",10,"2","son",163,0.0613496932515337,"is"
"10190","spend some",10,"2","spend",163,0.0613496932515337,"some"
"16576","he had no",10,"3","he had",163,0.0613496932515337,"no"
"16588","i also know",10,"3","i also",163,0.0613496932515337,"know"
"16589","i also think",10,"3","i also",163,0.0613496932515337,"think"
"16743","people who have",10,"3","people who",163,0.0613496932515337,"have"
"236","about it",196,"2","about",3196,0.0613266583229036,"it"
"15525","and they have",13,"3","and they",212,0.0613207547169811,"have"
"5708","hours a",16,"2","hours",261,0.0613026819923372,"a"
"4881","yes the",19,"2","yes",310,0.0612903225806452,"the"
"14781","to me i",19,"3","to me",310,0.0612903225806452,"i"
"627","know how",100,"2","know",1632,0.0612745098039216,"how"
"628","know i",100,"2","know",1632,0.0612745098039216,"i"
"13","i have",1267,"2","i",20685,0.0612521150592217,"have"
"15772","about it i",12,"3","about it",196,0.0612244897959184,"i"
"17213","many of my",9,"3","many of",147,0.0612244897959184,"my"
"17240","now i dont",9,"3","now i",147,0.0612244897959184,"dont"
"19643","after a long",6,"3","after a",98,0.0612244897959184,"long"
"20184","i took it",6,"3","i took",98,0.0612244897959184,"it"
"20605","on their way",6,"3","on their",98,0.0612244897959184,"way"
"20945","things that have",6,"3","things that",98,0.0612244897959184,"have"
"20946","things that we",6,"3","things that",98,0.0612244897959184,"we"
"13860","that i am",63,"3","that i",1030,0.0611650485436893,"am"
"4080","under a",22,"2","under",360,0.0611111111111111,"a"
"12434","faith is",8,"2","faith",131,0.0610687022900763,"is"
"12841","minute and",8,"2","minute",131,0.0610687022900763,"and"
"13078","places and",8,"2","places",131,0.0610687022900763,"and"
"13079","places in",8,"2","places",131,0.0610687022900763,"in"
"13080","places like",8,"2","places",131,0.0610687022900763,"like"
"17633","away from home",8,"3","away from",131,0.0610687022900763,"home"
"18200","the us government",8,"3","the us",131,0.0610687022900763,"government"
"14160","to see how",31,"3","to see",508,0.0610236220472441,"how"
"9547","available on",10,"2","available",164,0.0609756097560976,"on"
"9929","lets just",10,"2","lets",164,0.0609756097560976,"just"
"10128","road and",10,"2","road",164,0.0609756097560976,"and"
"10164","sit back",10,"2","sit",164,0.0609756097560976,"back"
"10165","sit on",10,"2","sit",164,0.0609756097560976,"on"
"16599","i feel the",10,"3","i feel",164,0.0609756097560976,"the"
"1110","work on",64,"2","work",1050,0.060952380952381,"on"
"3998","makes the",22,"2","makes",361,0.0609418282548476,"the"
"14003","a few weeks",39,"3","a few",640,0.0609375,"weeks"
"14004","a few years",39,"3","a few",640,0.0609375,"years"
"15791","and you know",12,"3","and you",197,0.0609137055837563,"know"
"14707","and that the",19,"3","and that",312,0.0608974358974359,"the"
"6644","experience the",14,"2","experience",230,0.0608695652173913,"the"
"18496","and some other",7,"3","and some",115,0.0608695652173913,"other"
"18527","are you doing",7,"3","are you",115,0.0608695652173913,"doing"
"18675","for it and",7,"3","for it",115,0.0608695652173913,"and"
"18676","for it i",7,"3","for it",115,0.0608695652173913,"i"
"19155","she has been",7,"3","she has",115,0.0608695652173913,"been"
"11398","photos from",9,"2","photos",148,0.0608108108108108,"from"
"17166","it all in",9,"3","it all",148,0.0608108108108108,"in"
"17167","it all the",9,"3","it all",148,0.0608108108108108,"the"
"17419","to come home",9,"3","to come",148,0.0608108108108108,"home"
"14785","to take care",19,"3","to take",313,0.060702875399361,"care"
"4334","white and",21,"2","white",346,0.0606936416184971,"and"
"4464","least i",20,"2","least",330,0.0606060606060606,"i"
"6573","business and",14,"2","business",231,0.0606060606060606,"and"
"12420","events in",8,"2","events",132,0.0606060606060606,"in"
"13471","third of",8,"2","third",132,0.0606060606060606,"of"
"13563","towards a",8,"2","towards",132,0.0606060606060606,"a"
"17702","even though he",8,"3","even though",132,0.0606060606060606,"he"
"17703","even though its",8,"3","even though",132,0.0606060606060606,"its"
"18224","they will have",8,"3","they will",132,0.0606060606060606,"have"
"18306","us to be",8,"3","us to",132,0.0606060606060606,"be"
"20175","i started with",6,"3","i started",99,0.0606060606060606,"with"
"8671","church and",11,"2","church",182,0.0604395604395604,"and"
"9091","running and",11,"2","running",182,0.0604395604395604,"and"
"16254","look at my",11,"3","look at",182,0.0604395604395604,"my"
"2167","both of",36,"2","both",596,0.0604026845637584,"of"
"3089","done with",27,"2","done",447,0.0604026845637584,"with"
"11390","pay attention",9,"2","pay",149,0.0604026845637584,"attention"
"11547","step in",9,"2","step",149,0.0604026845637584,"in"
"11548","step is",9,"2","step",149,0.0604026845637584,"is"
"11549","step up",9,"2","step",149,0.0604026845637584,"up"
"3453","point i",25,"2","point",414,0.0603864734299517,"i"
"18674","for her to",7,"3","for her",116,0.0603448275862069,"to"
"19330","think i was",7,"3","think i",116,0.0603448275862069,"was"
"14932","i didnt know",17,"3","i didnt",282,0.0602836879432624,"know"
"2140","thats not",37,"2","thats",614,0.0602605863192182,"not"
"4433","idea to",20,"2","idea",332,0.0602409638554217,"to"
"14681","the time of",20,"3","the time",332,0.0602409638554217,"of"
"9574","began in",10,"2","began",166,0.0602409638554217,"in"
"9585","birthday party",10,"2","birthday",166,0.0602409638554217,"party"
"22361","and it was so",5,"4","and it was",83,0.0602409638554217,"so"
"22664","that i was able",5,"4","that i was",83,0.0602409638554217,"able"
"2957","doing this",28,"2","doing",465,0.0602150537634409,"this"
"14492","to go with",23,"3","to go",382,0.0602094240837696,"with"
"12503","general and",8,"2","general",133,0.0601503759398496,"and"
"17581","and if the",8,"3","and if",133,0.0601503759398496,"the"
"21723","i have a few",8,"4","i have a",133,0.0601503759398496,"few"
"4724","minutes or",19,"2","minutes",316,0.060126582278481,"or"
"4014","past the",22,"2","past",366,0.0601092896174863,"the"
"8922","lots and",11,"2","lots",183,0.0601092896174863,"and"
"6547","baby and",14,"2","baby",233,0.0600858369098712,"and"
"6817","ones who",14,"2","ones",233,0.0600858369098712,"who"
"14988","there was an",17,"3","there was",283,0.0600706713780919,"an"
